Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Region,City,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Unit_Cost,Discount_Percentage,Payment_Method,Customer_Segment,Order_Status,Salesperson,Revenue,Profit,Profit_Margin,Order_Year,Order_Month,Month_Name,Quater,Day_Name,Average_Order_Value
1,2026-05-16,C00001,Lindsey Gibson,24,Male,West,Mumbai,P9697,Tablet,Accessories,Logitech,8,64323,7369,10,UPI,Corporate,Returned,Arun,514584,507215,0.99,2026.0,5.0,May,2.0,Saturday,64323.0
2,2024-09-05,C00002,Virginia Fields,31,Female,East,Chennai,P8016,  Monitor  ,Accessories,Samsung,9,54013,18738,20,Credit Card,Small Business,Returned,Kumar,486117,467379,0.96,2024.0,9.0,September,3.0,Thursday,54013.0
3,2025-01-09,C00003,Jose Mason,41,Male,North,Bangalore,P7673,Monitor,Electronics,HP,6,53428,58552,20,Credit Card,Consumer,Delivered,Priya,320568,262016,0.82,2025.0,1.0,January,1.0,Thursday,53428.0
4,2025-01-31,C00004,Emily Ramos,36,Female,South,Hyderabad,P9051,Mouse,Accessories,Lenovo,8,6789,28641,20,Net Banking,Corporate,Pending,Arun,54312,25671,0.47,2025.0,1.0,January,1.0,Friday,6789.0
5,2026-01-29,C00005,Mary Shannon,58,Female,North,Delhi,P8434,Keyboard,Electronics,Dell,2,19175,39973,20,Net Banking,Corporate,Returned,Arun,38350,-1623,-0.04,2026.0,1.0,January,1.0,Thursday,19175.0
6,2026-03-10,C00006,Joshua Parker,46,Male,South,Mumbai,P6899,Laptop,Electronics,Dell,2,44084,41576,0,UPI,Small Business,Delivered,Priya,88168,46592,0.53,2026.0,3.0,March,1.0,Tuesday,44084.0
7,2026-03-31,C00007,Robert West,28,Female,East,Delhi,P5211,Mouse,Accessories,Dell,1,37819,9647,10,Credit Card,Small Business,Delivered,Kumar,37819,28172,0.74,2026.0,3.0,March,1.0,Tuesday,37819.0
8,2024-08-10,C00008,Brandon Ryan,47,Unknown Gender,West,Mumbai,P8751,Mouse,Accessories,HP,2,30829,56455,20,UPI,Corporate,Returned,Divya,61658,5203,0.08,2024.0,8.0,August,3.0,Saturday,30829.0
9,2024-12-28,C00009,Dr. Brandon Ray,26,Male,East,mumbai,P6752,Tablet,Accessories,Samsung,9,4430,51770,5,Credit Card,Consumer,Delivered,Priya,39870,-11900,-0.3,2024.0,12.0,December,4.0,Saturday,4430.0
10,2024-10-30,C00010,Dale Keller,46,Male,West,Bangalore,P9493,Laptop,Accessories,Logitech,6,46601,39195,0,Net Banking,Small Business,Cancelled,Raj,279606,240411,0.86,2024.0,10.0,October,4.0,Wednesday,46601.0
11,2025-03-31,C00011,Karen Ortega,48,Female,West,Chennai,P4982,Keyboard,Accessories,Unknown Brand,8,66840,38814,10,Cash,Small Business,Delivered,Priya,534720,495906,0.93,2025.0,3.0,March,1.0,Monday,66840.0
12,2025-04-08,C00012,Daniel Campbell,30,Male,West,Mumbai,P3524,Printer,Electronics,Dell,5,78612,13769,15,UPI,Corporate,Cancelled,Priya,393060,379291,0.96,2025.0,4.0,April,2.0,Tuesday,78612.0
13,2025-07-03,C00013,Amanda Dalton,55,Female,East,Pune,P1067,Laptop,Electronics,Apple,1,59695,10391,0,Debit Card,Consumer,Cancelled,Arun,59695,49304,0.83,2025.0,7.0,July,3.0,Thursday,59695.0
14,2024-12-23,C00014,Elizabeth Guerrero,48,Female,West,Delhi,P5101,Tablet,Electronics,Apple,3,29487,7729,5,Debit Card,Corporate,Returned,Arun,88461,80732,0.91,2024.0,12.0,December,4.0,Monday,29487.0
15,2025-06-02,C00015,Shawn Jennings,38,Female,North,Chennai,P7795,Laptop,Accessories,HP,6,68388,48264,5,Debit Card,Corporate,Returned,Priya,410328,362064,0.88,2025.0,6.0,June,2.0,Monday,68388.0
16,2026-02-14,C00016,Brian Stewart,24,Unknown Gender,South,Bangalore,P3157,Monitor,Electronics,Apple,7,73439,3297,20,Cash,Consumer,Cancelled,Divya,514073,510776,0.99,2026.0,2.0,February,1.0,Saturday,73439.0
17,2026-01-03,C00017,Natalie Lee,49,Female,West,Bangalore,P1945,Tablet,Accessories,Unknown Brand,9,60093,1199,0,Debit Card,Corporate,Returned,Arun,540837,539638,1.0,2026.0,1.0,January,1.0,Saturday,60093.0
18,2025-02-28,C00018,Charles Sawyer,50,Male,East,Mumbai,P4934,Mobile,Accessories,HP,5,73771,25955,20,UPI,Corporate,Delivered,Raj,368855,342900,0.93,2025.0,2.0,February,1.0,Friday,73771.0
19,2026-01-12,C00019,Unknown Customer,23,Female,East,Chennai,P8787,Printer,Electronics,Dell,6,32485,17255,10,Debit Card,Small Business,Returned,Divya,194910,177655,0.91,2026.0,1.0,January,1.0,Monday,32485.0
20,2025-01-04,C00020,Edward Watkins,38,Female,West,Chennai,P8438,Mouse,Electronics,HP,8,72492,15670,5,Debit Card,Corporate,Delivered,Kumar,579936,564266,0.97,2025.0,1.0,January,1.0,Saturday,72492.0
21,2025-11-08,C00021,Unknown Customer,45,Female,West,Bangalore,P2371,Mobile,Accessories,Samsung,1,49212,44985,5,Debit Card,Corporate,Pending,Raj,49212,4227,0.09,2025.0,11.0,November,4.0,Saturday,49212.0
22,2025-02-09,C00022,Rebecca Carroll,21,Male,West,Pune,P5478,Mobile,Electronics,Lenovo,6,744,10966,15,Debit Card,Small Business,Returned,Arun,4464,-6502,-1.46,2025.0,2.0,February,1.0,Sunday,744.0
23,2025-09-30,C00023,Thomas Ballard,53,Female,East,Mumbai,P1942,Laptop,Accessories,HP,3,72162,11071,10,Net Banking,Corporate,Delivered,Raj,216486,205415,0.95,2025.0,9.0,September,3.0,Tuesday,72162.0
24,2025-06-10,C00024,Sarah Adams,21,Male,North,Delhi,P2945,Mobile,Accessories,Logitech,1,28639,41118,0,Debit Card,Small Business,Pending,Kumar,28639,-12479,-0.44,2025.0,6.0,June,2.0,Tuesday,28639.0
25,2025-11-13,C00025,Frederick Delacruz,59,Female,West,Bangalore,P8262,Keyboard,Electronics,Apple,9,32859,59729,0,Net Banking,Corporate,Returned,Divya,295731,236002,0.8,2025.0,11.0,November,4.0,Thursday,32859.0
26,2025-07-28,C00026,Shawn Chase,25,Female,North,Bangalore,P1827,Laptop,Electronics,Apple,4,5301,34049,20,Net Banking,Corporate,Pending,Priya,21204,-12845,-0.61,2025.0,7.0,July,3.0,Monday,5301.0
27,2026-02-06,C00027,James Munoz,25,Female,East,Delhi,P8283,Keyboard,Electronics,Logitech,6,68000,50007,0,Debit Card,Consumer,Cancelled,Raj,408000,357993,0.88,2026.0,2.0,February,1.0,Friday,68000.0
28,2024-11-10,C00028,Thomas Moore,54,Female,South,Hyderabad,P4328,Mouse,Accessories,Samsung,6,40817,33355,5,Debit Card,Consumer,Delivered,Divya,244902,211547,0.86,2024.0,11.0,November,4.0,Sunday,40817.0
