Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Region,City,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Unit_Cost,Discount_Percentage,Payment_Method,Customer_Segment,Order_Status,Salesperson
1,2026-05-16,C00001,Lindsey Gibson,24,Male,West,Mumbai,P9697,Tablet,Accessories,Logitech,8,64323,7369,10,UPI,Corporate,Returned,Arun
2,2024-09-05,C00002,Virginia Fields,31,Female,East,Chennai,P8016,  Monitor  ,Accessories,Samsung,9,54013,18738,20,Credit Card,Small Business,Returned,Kumar
3,2025-01-09,C00003,Jose Mason,41,Male,North,Bangalore,P7673,Monitor,Electronics,HP,6,53428,58552,20,Credit Card,Consumer,Delivered,Priya
4,2025-01-31,C00004,Emily Ramos,36,Female,South,Hyderabad,P9051,Mouse,Accessories,Lenovo,8,6789,28641,20,Net Banking,Corporate,Pending,Arun
5,2026-01-29,C00005,Mary Shannon,58,Female,North,Delhi,P8434,Keyboard,Electronics,Dell,2,19175,39973,20,Net Banking,Corporate,Returned,Arun
6,2026-03-10,C00006,Joshua Parker,46,Male,South,Mumbai,P6899,Laptop,Electronics,Dell,2,44084,41576,0,UPI,Small Business,Delivered,Priya
7,2026-03-31,C00007,Robert West,28,Female,East,Delhi,P5211,Mouse,Accessories,Dell,1,37819,9647,10,Credit Card,Small Business,Delivered,Kumar
8,2024-08-10,C00008,Brandon Ryan,47,,West,Mumbai,P8751,Mouse,Accessories,HP,2,30829,56455,20,UPI,Corporate,Returned,Divya
9,2024-12-28,C00009,Dr. Brandon Ray,26,Male,East,mumbai,P6752,Tablet,Accessories,Samsung,9,4430,51770,5,Credit Card,Consumer,Delivered,Priya
10,2024-10-30,C00010,Dale Keller,46,Male,West,Bangalore,P9493,Laptop,Accessories,Logitech,6,46601,39195,0,Net Banking,Small Business,Cancelled,Raj
11,2025-03-31,C00011,Karen Ortega,48,Female,West,Chennai,P4982,Keyboard,Accessories,,8,66840,38814,10,Cash,Small Business,Delivered,Priya
